Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,596,551,982,1083,1767,123,2110,0.000%,28.55169,5.29,14301.02
TOTAL,5000,596,551,982,1083,1767,123,2110,0.000%,28.55169,5.29,14301.02
